"id","scheme","scheme_type","value","year","estimate_type"
2691,"Re-capitalization of Insurance Companies","Major Central Sector Schemes",6950.0,"2020-2021","Budget"
2692,"National Animal Disease Control Programme for Foot and Mouth Disease (FMD) and Brucellosis","Major Central Sector Schemes",1300.0,"2020-2021","Budget"
2693,"Family Welfare Schemes","Major Central Sector Schemes",600.0,"2020-2021","Budget"
2694,"Schemes for Safety of Women","Major Central Sector Schemes",855.0,"2020-2021","Budget"
2695,"Higher Education Financing Agency (HEFA)","Major Central Sector Schemes",2200.0,"2020-2021","Budget"
2696,"Phulpur Dhamra Haldia Pipeline Project","Major Central Sector Schemes",728.0,"2020-2021","Budget"
2697,"Payment to Indian Strategic Petroleum Reserve Limited (ISPRL) for Crude Oil Reserve","Major Central Sector Schemes",690.0,"2020-2021","Budget"
2698,"LPG Connection to Poor Households (Saubhagya)","Major Central Sector Schemes",1118.0,"2020-2021","Budget"
2699,"INSAT Satellite Systems","Major Central Sector Schemes",751.0,"2020-2021","Budget"
2700,"Member of Parliament Local Area Development Scheme (MPLAD)","Major Central Sector Schemes",3960.0,"2020-2021","Budget"
2701,"Credit Linked Capital Subsidy and Technology Upgradation Scheme","Major Central Sector Schemes",654.0,"2020-2021","Budget"
2702,"Budgetary Support to Schemes of Ministry of Railways","Major Central Sector Schemes",72216.0,"2020-2021","Budget"
2703,"Sagarmala","Major Central Sector Schemes",297.0,"2020-2021","Budget"
2704,"Centenaries and Anniversaries, Celebrations and Schemes","Major Central Sector Schemes",160.0,"2020-2021","Budget"
2705,"Support to Infrastructure Pipeline","Major Central Sector Schemes",12500.0,"2020-2021","Budget"
2706,"Pradhan Mantri Mudra Yojana","Major Central Sector Schemes",500.0,"2020-2021","Budget"
2707,"Stimulus Package for Export Credit- NIRVIK Yojna","Major Central Sector Schemes",95.0,"2020-2021","Budget"
2708,"National Social Assistance Program","Core of the Core Schemes",8694.0,"2017-2018","Actual"
2709,"Mahatma Gandhi National Rural Employment Guarantee Program","Core of the Core Schemes",55166.0,"2017-2018","Actual"
2710,"Umbrella Scheme for Development of Scheduled Castes","Core of the Core Schemes",5061.0,"2017-2018","Actual"
2711,"Umbrella Programme for Development of Scheduled Tribes","Core of the Core Schemes",3573.0,"2017-2018","Actual"
2712,"Umbrella Programme for Development of Minorities","Core of the Core Schemes",3948.0,"2017-2018","Actual"
2713,"Umbrella Programme for Development of Other Vulnerable Groups","Core of the Core Schemes",1574.0,"2017-2018","Actual"
2714,"Green Revolution","Core Schemes",11057.0,"2017-2018","Actual"
2715,"White Revolution","Core Schemes",1574.0,"2017-2018","Actual"
2716,"Blue Revolution","Core Schemes",321.0,"2017-2018","Actual"
2717,"Pradhan Mantri Krishi Sinchai Yojna","Core Schemes",6613.0,"2017-2018","Actual"
2718,"Pradhan Mantri Gram Sadak Yojna","Core Schemes",16862.0,"2017-2018","Actual"
2719,"Pradhan Mantri Awas Yojna (PMAY)","Core Schemes",31164.0,"2017-2018","Actual"
2720,"National Rural Drinking Water Mission","Core Schemes",7038.0,"2017-2018","Actual"
2721,"Swachh Bharat Mission","Core Schemes",19427.0,"2017-2018","Actual"
2722,"National Health Mission","Core Schemes",32000.0,"2017-2018","Actual"
2723,"National Education Mission","Core Schemes",29455.0,"2017-2018","Actual"
2724,"National Programme of Mid Day Meal in Schools","Core Schemes",9092.0,"2017-2018","Actual"
2725,"Umbrella ICDS","Core Schemes",19234.0,"2017-2018","Actual"
2726,"Mission for Protection and Empowerment for Women","Core Schemes",945.0,"2017-2018","Actual"
2727,"National Livelihood Mission - Ajeevika","Core Schemes",4926.0,"2017-2018","Actual"
2728,"Jobs and Skill Development","Core Schemes",2723.0,"2017-2018","Actual"
2729,"Environment, Forestry and Wildlife","Core Schemes",955.0,"2017-2018","Actual"
2730,"Urban Rejuvenation Mission: AMRUT and Smart Cities Mission","Core Schemes",9463.0,"2017-2018","Actual"
2731,"Modernisation of Police Forces","Core Schemes",2546.0,"2017-2018","Actual"
2732,"Infrastructure Facilities for Judiciary","Core Schemes",629.0,"2017-2018","Actual"
2733,"Border Area Development Programme","Core Schemes",1100.0,"2017-2018","Actual"
2734,"Shyama Prasad Mukherjee Rurban Mission","Core Schemes",553.0,"2017-2018","Actual"
2735,"Rashtriya Gram Swaraj Abhiyan (RGSA)","Core Schemes","","2017-2018","Actual"
2736,"Rashtriya Swasthya Bima Yojna","Core Schemes",505.0,"2017-2018","Actual"
2737,"Crop Insurance Scheme","Major Central Sector Schemes",9419.0,"2017-2018","Actual"
2738,"Interest Subsidy for Short Term Credit to Farmers","Major Central Sector Schemes",13046.0,"2017-2018","Actual"
2739,"Market Intervention Scheme and Price Support Scheme (MIS-PSS)","Major Central Sector Schemes",701.0,"2017-2018","Actual"
2740,"Pradhan Mantri Annadata Aay Sanrakshan Yojna (PM-AASHA)","Major Central Sector Schemes","","2017-2018","Actual"
2741,"Distribution of Pulses to State / Union Territories for Welfare Schemes","Major Central Sector Schemes","","2017-2018","Actual"
2742,"Promotion of Agricultural Mechanization for in-situ Management of Crop Residue","Major Central Sector Schemes","","2017-2018","Actual"
2743,"Pradhan Mantri Kisan Samman Nidhi (PM-Kisan)","Major Central Sector Schemes","","2017-2018","Actual"
2744,"Pradhan Mantri Kisan Pension Yojana","Major Central Sector Schemes","","2017-2018","Actual"
2745,"Crop Science","Major Central Sector Schemes",400.0,"2017-2018","Actual"
2746,"Agricultural Universities and Institutions","Major Central Sector Schemes",658.0,"2017-2018","Actual"
2747,"Nuclear Fuel Inventory","Major Central Sector Schemes",1028.0,"2017-2018","Actual"
2748,"Feedstock","Major Central Sector Schemes",1109.0,"2017-2018","Actual"
2749,"R and D Basic Science and Engineering","Major Central Sector Schemes",836.0,"2017-2018","Actual"
2750,"Fuel Cycle Projects (Fast Reactor Fuel Cycle Facility)","Major Central Sector Schemes",420.0,"2017-2018","Actual"
2751,"Urea Subsidy","Major Central Sector Schemes",44223.0,"2017-2018","Actual"
2752,"Nutrient Based Subsidy","Major Central Sector Schemes",22244.0,"2017-2018","Actual"
2753,"Purchase of two new aircraft for Special Extra Section Flight operations","Major Central Sector Schemes","","2017-2018","Actual"
2754,"Air India Asset Holding Limited (SPV)","Major Central Sector Schemes","","2017-2018","Actual"
2755,"Exploration of Coal and Lignite","Major Central Sector Schemes",159.0,"2017-2018","Actual"
2756,"Interest Equalisation Scheme","Major Central Sector Schemes",2000.0,"2017-2018","Actual"
2757,"National Industrial Corridor Development and Implementation Trust (NICDIT)","Major Central Sector Schemes",797.0,"2017-2018","Actual"
2758,"Exhibition-Cum-ConventionCentre, Dwarka","Major Central Sector Schemes",495.0,"2017-2018","Actual"
2759,"Refund of Central and Integrated GST to Industrial Units in North Eastern Region and Himalayan States","Major Central Sector Schemes",169.0,"2017-2018","Actual"
2760,"Optical Fibre Cable based network for Defence Services","Major Central Sector Schemes",3755.0,"2017-2018","Actual"
2761,"Compensation to Service Providers for creation and augmentation of telecom infrastructure","Major Central Sector Schemes",7000.0,"2017-2018","Actual"
2762,"Price Stabilisation Fund","Major Central Sector Schemes",3500.0,"2017-2018","Actual"
2763,"Assistance to States Agencies for Intra-State Movement of Foodgrains and FPS Dealers Margin under NFSA","Major Central Sector Schemes",4500.0,"2017-2018","Actual"
2764,"Food Subsidy to Food Corporation of India under National Food Security Act.","Major Central Sector Schemes",61982.0,"2017-2018","Actual"
2765,"Food Subsidy for Decentralized Procurement of Foodgrains under NFSA","Major Central Sector Schemes",38000.0,"2017-2018","Actual"
2766,"Scheme for Creation and Maintenance of Buffer Stock of Sugar","Major Central Sector Schemes","","2017-2018","Actual"
2767,"Scheme for Assistance to Sugar Mills for 2018-19 season","Major Central Sector Schemes","","2017-2018","Actual"
2768,"Capital Outlay on Defence Services","Major Central Sector Schemes",90438.0,"2017-2018","Actual"
2769,"Schemes of North East Council","Major Central Sector Schemes",335.0,"2017-2018","Actual"
2770,"Central Pool of Resources for North East and Sikkim","Major Central Sector Schemes",861.0,"2017-2018","Actual"
2771,"Promotion of Digital payment","Major Central Sector Schemes",23.0,"2017-2018","Actual"
2772,"Promotion of Electronics and IT HW Manufacturing (MSIPS, EDF and Manufacturing Clusters)","Major Central Sector Schemes",460.0,"2017-2018","Actual"
2773,"National Investment and Infrastructure Fund (NIIF)","Major Central Sector Schemes",343.0,"2017-2018","Actual"
2774,"Subscription to Share Captial of National Bank for Agricultural and Rural Development (NABARD)","Major Central Sector Schemes",3880.0,"2017-2018","Actual"
2775,"Subscription to the Share Capital of Export-Import Bank of India","Major Central Sector Schemes",500.0,"2017-2018","Actual"
2776,"Pradhan Mantri Kisan Sampada Yojana","Major Central Sector Schemes","","2017-2018","Actual"
2777,"National AIDS and STD Control Programme","Major Central Sector Schemes",2010.0,"2017-2018","Actual"
2778,"Family Welfare Schemes","Major Central Sector Schemes",614.0,"2017-2018","Actual"
2779,"Pardhan Mantri Swasthya Suraksha Yojana","Major Central Sector Schemes",3159.0,"2017-2018","Actual"
2780,"Relief and Rehabilitation for migrants and repatriates","Major Central Sector Schemes",1057.0,"2017-2018","Actual"
2781,"Freedom Fighters (pension and other benefits)","Major Central Sector Schemes",760.0,"2017-2018","Actual"
2782,"Border Infrastructure and Management","Major Central Sector Schemes",2022.0,"2017-2018","Actual"
2783,"Police Infrastructure","Major Central Sector Schemes",4545.0,"2017-2018","Actual"
2784,"Metro Projects","Major Central Sector Schemes",13810.0,"2017-2018","Actual"
2785,"National Capital Region Transport Corporation","Major Central Sector Schemes","","2017-2018","Actual"
2786,"Technical Education Quality Improvement Programme of Government of India (EAP)","Major Central Sector Schemes",157.0,"2017-2018","Actual"
2787,"Higher Education Financing Agency (HEFA)","Major Central Sector Schemes",250.0,"2017-2018","Actual"
2788,"Interest Subsidy and contribution for Guarantee Funds","Major Central Sector Schemes",1950.0,"2017-2018","Actual"
2789,"Employees Pension Scheme, 1995","Major Central Sector Schemes",5111.0,"2017-2018","Actual"
2790,"Pradhan Mantri Karam Yogi Maandhan","Major Central Sector Schemes","","2017-2018","Actual"
2791,"Pradhan Mantri Shram Yogi Maandhan","Major Central Sector Schemes","","2017-2018","Actual"
2792,"Credit Linked Capital Subsidy and Technology Upgradation Scheme","Major Central Sector Schemes",295.0,"2017-2018","Actual"
2793,"Prime Minister Employment Generation Programme (PMEGP)","Major Central Sector Schemes",1073.0,"2017-2018","Actual"
2794,"Credit Support Programme","Major Central Sector Schemes",3002.0,"2017-2018","Actual"
2795,"Education Empowerment","Major Central Sector Schemes","","2017-2018","Actual"
2796,"Skill Development and Livelihoods","Major Central Sector Schemes","","2017-2018","Actual"
2797,"Wind Power","Major Central Sector Schemes",750.0,"2017-2018","Actual"
2798,"Solar Power (Both Grid and off-Grid)","Major Central Sector Schemes",1890.0,"2017-2018","Actual"
2799,"Green Energy Corridors","Major Central Sector Schemes",500.0,"2017-2018","Actual"
2800,"Phulpur Dhamra Haldia Pipeline Project","Major Central Sector Schemes",400.0,"2017-2018","Actual"
2801,"Direct Benefit Transfer","Major Central Sector Schemes",13097.0,"2017-2018","Actual"
2802,"LPG Connection to Poor Households","Major Central Sector Schemes",2252.0,"2017-2018","Actual"
2803,"Other subsidy payable including for North Eastern Region","Major Central Sector Schemes",282.0,"2017-2018","Actual"
2804,"Payment of differential royalty to State Governments","Major Central Sector Schemes",7005.0,"2017-2018","Actual"
2805,"National Seismic Programme","Major Central Sector Schemes",10.0,"2017-2018","Actual"
2806,"Deen Dayal Upadhyaya Gram Jyoti Yojna","Major Central Sector Schemes",5050.0,"2017-2018","Actual"
2807,"Integrated Power Development Scheme","Major Central Sector Schemes",3900.0,"2017-2018","Actual"
2808,"Strengthening of Power Systems","Major Central Sector Schemes",1160.0,"2017-2018","Actual"
2809,"Power System Development Fund","Major Central Sector Schemes",1000.0,"2017-2018","Actual"
2810,"Budgetary Support to Schemes of Ministry of Railways","Major Central Sector Schemes",45231.0,"2017-2018","Actual"
2811,"National Highways Authority of India","Major Central Sector Schemes",23892.0,"2017-2018","Actual"
2812,"Road Works","Major Central Sector Schemes",36849.0,"2017-2018","Actual"
2813,"Science and Technology Institutional and Human Capacity Building","Major Central Sector Schemes",990.0,"2017-2018","Actual"
2814,"Innovation, Technology Development and Deployment","Major Central Sector Schemes",614.0,"2017-2018","Actual"
2815,"Biotechnology Research and Development","Major Central Sector Schemes",1239.0,"2017-2018","Actual"
2816,"Sagarmala","Major Central Sector Schemes",479.0,"2017-2018","Actual"
2817,"Space Technology (including Gaganyan)","Major Central Sector Schemes",5948.0,"2017-2018","Actual"
2818,"Space Applications","Major Central Sector Schemes",1540.0,"2017-2018","Actual"
2819,"INSAT Satellite Systems","Major Central Sector Schemes",565.0,"2017-2018","Actual"
2820,"Capacity Development (CD)","Major Central Sector Schemes",144.0,"2017-2018","Actual"
2821,"Member of Parliament Local Area Development Scheme (MPLAD)","Major Central Sector Schemes",3504.0,"2017-2018","Actual"
2822,"Amended Technology Upgradation Fund Scheme(ATUFS)","Major Central Sector Schemes",1905.0,"2017-2018","Actual"
2823,"Central Silk Board","Major Central Sector Schemes",543.0,"2017-2018","Actual"
2824,"Procurement of Cotton by Cotton Corporation under Price Support Scheme","Major Central Sector Schemes",103.0,"2017-2018","Actual"
2825,"Integrated Development of Tourist Circuits around specific themes (Swadesh Darshan)","Major Central Sector Schemes",944.0,"2017-2018","Actual"
2826,"National Ganga Plan and Ghat Works","Major Central Sector Schemes",700.0,"2017-2018","Actual"
2827,"National River Conservation Programme","Major Central Sector Schemes",723.0,"2017-2018","Actual"
2828,"North East Special Infrastructure Development Scheme (NESIDS)","Major Central Sector Schemes","","2017-2018","Actual"
2829,"Pradhan Mantri Gramin Digital Saksharta Abhiyan (PMGDISHA)","Major Central Sector Schemes",100.0,"2017-2018","Actual"
2830,"National Social Assistance Program","Core of the Core Schemes",9975.0,"2018-2019","Budget"
2831,"Mahatma Gandhi National Rural Employment Guarantee Program","Core of the Core Schemes",55000.0,"2018-2019","Budget"
2832,"Umbrella Scheme for Development of Scheduled Castes","Core of the Core Schemes",5183.0,"2018-2019","Budget"
2833,"Umbrella Programme for Development of Scheduled Tribes","Core of the Core Schemes",3806.0,"2018-2019","Budget"
